"Classification","EdgeOfFlightLine","GpsTime","Intensity","NumberOfReturns","OriginId","PointSourceId","ReturnNumber","ScanAngleRank","ScanDirectionFlag","UserData","X","Y","Z"
1.000,0.000,56180.805,44.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,307.860
1.000,0.000,56180.805,77.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,308.660
1.000,0.000,56180.832,81.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,302.850
1.000,0.000,56180.788,86.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,308.870
1.000,0.000,56180.815,54.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,307.760
1.000,0.000,56180.815,53.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,307.740
1.000,0.000,56180.815,80.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,305.620
1.000,0.000,56180.832,79.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,304.270
1.000,0.000,56180.832,53.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,304.160
1.000,0.000,56180.843,52.000,2.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,301.010
1.000,0.000,56180.843,93.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,301.240
1.000,0.000,56180.843,52.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,301.110
2.000,0.000,56180.860,17.000,2.000,17583.000,85.000,2.000,8.000,1.000,69.000,-93.651,42.023,290.580
1.000,0.000,56180.788,92.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.024,309.740
1.000,0.000,56180.805,44.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,307.970
1.000,0.000,56180.815,22.000,2.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,305.320
1.000,0.000,56180.815,111.000,2.000,17583.000,85.000,2.000,8.000,0.000,69.000,-93.651,42.023,291.380
2.000,0.000,56180.832,6.000,2.000,17583.000,85.000,2.000,8.000,1.000,69.000,-93.651,42.023,290.740
1.000,0.000,56180.832,92.000,1.000,17583.000,85.000,1.000,8.000,1.000,69.000,-93.651,42.023,301.320
1.000,0.000,56180.843,74.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,304.350
1.000,0.000,56180.843,72.000,1.000,17583.000,85.000,1.000,8.000,0.000,69.000,-93.651,42.023,303.920
